algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,opening,8,18575427,5001.29,3714342,0.09,b5c6,42,7.89,0
Full Alpha-Beta,pos_1,opening,17,11968680,5000.83,2393736,0.40,b5c6,17,2.82,0
MTD(f),pos_1,opening,8,12394549,5001.44,2478414,0.47,b5c6,42,19.90,0
NegaScout,pos_1,opening,8,21659718,5000.77,4331943,0.01,b5c6,42,7.18,0
MCTS,pos_1,opening,20,5884675,30208.81,194805,1004.05,b5d3,20,0.83,1
Classic MCTS,pos_1,opening,16,161277,5027.05,32082,1042.58,h2h4,8,1.03,3
Pure Alpha-Beta,pos_2,opening,8,20787267,5000.54,4157453,0.17,b1c3,21,6.00,0
Full Alpha-Beta,pos_2,opening,16,12234798,5000.68,2446959,0.18,b1c3,16,2.23,0
MTD(f),pos_2,opening,8,13340777,5001.00,2667621,0.05,b1c3,21,13.67,0
NegaScout,pos_2,opening,8,20754569,5000.82,4150913,0.33,b1c3,21,4.92,0
MCTS,pos_2,opening,20,4798416,18193.62,263750,1001.46,b1c3,21,1.24,0
Classic MCTS,pos_2,opening,16,173666,5053.03,34368,1008.65,a2a4,5,1.07,4
Pure Alpha-Beta,pos_3,opening,7,18567272,5000.79,3713454,0.02,b1c3,45,9.93,1
Full Alpha-Beta,pos_3,opening,15,12624046,5001.05,2524304,0.03,e1g1,41,3.77,1
MTD(f),pos_3,opening,8,12632148,5000.90,2526429,0.33,e1g1,72,36.39,2
NegaScout,pos_3,opening,7,19243078,5000.12,3848615,0.02,b1c3,45,8.66,1
MCTS,pos_3,opening,20,7024211,10007.14,701929,1001.05,b1c3,69,1.47,0
Classic MCTS,pos_3,opening,16,167670,5071.73,33064,1030.89,b5c6,7,1.03,2
Pure Alpha-Beta,pos_4,opening,6,15966316,5000.32,3193263,0.03,b1c3,25,16.62,0
Full Alpha-Beta,pos_4,opening,16,11894914,5001.38,2378507,0.14,b1c3,6,3.26,0
MTD(f),pos_4,opening,7,12128399,5000.91,2425679,0.19,b1c3,3,21.40,0
NegaScout,pos_4,opening,6,15118413,5000.51,3023682,0.04,b1c3,25,12.01,0
MCTS,pos_4,opening,20,7088895,8068.40,878643,1001.88,e1g1,7,1.01,0
Classic MCTS,pos_4,opening,16,164459,5057.53,32521,1041.96,c4d3,5,1.01,0
Pure Alpha-Beta,pos_5,opening,6,14872648,5000.58,2974529,0.05,b1c3,9,13.15,0
Full Alpha-Beta,pos_5,opening,16,11997347,5000.71,2399469,0.03,d2d3,20,2.67,1
MTD(f),pos_5,opening,8,15339598,5000.26,3067919,0.08,b1c3,9,15.65,0
NegaScout,pos_5,opening,7,18915419,5000.17,3783083,0.03,b1c3,3,11.04,0
MCTS,pos_5,opening,20,8608509,5848.51,1472043,1001.65,b1c3,-5,1.08,0
Classic MCTS,pos_5,opening,16,170606,5036.81,33877,1003.09,a2a4,5,1.05,0
Pure Alpha-Beta,pos_6,opening,6,14958689,5000.31,2991737,0.02,b1c3,50,18.07,0
Full Alpha-Beta,pos_6,opening,16,11739230,5000.90,2347846,0.02,b1c3,15,2.83,0
MTD(f),pos_6,opening,8,13201489,5000.66,2640297,0.14,b1c3,50,28.92,0
NegaScout,pos_6,opening,6,15491182,5000.27,3098236,0.02,b1c3,50,12.60,0
MCTS,pos_6,opening,20,9525887,6133.60,1553218,1002.46,e1g1,34,1.16,0
Classic MCTS,pos_6,opening,16,168082,5032.81,33402,1035.04,g2g3,6,1.04,2
Pure Alpha-Beta,pos_7,opening,7,17801369,5001.12,3559561,0.03,f1b5,10,12.27,2
Full Alpha-Beta,pos_7,opening,16,12071118,5001.94,2413740,0.09,f1b5,19,2.95,4
MTD(f),pos_7,opening,8,12967978,5000.66,2593595,0.15,f1b5,21,8.75,2
NegaScout,pos_7,opening,7,18579552,5001.09,3715167,0.04,f1b5,10,10.69,2
MCTS,pos_7,opening,20,8323901,6204.01,1341699,1002.86,f1b5,19,1.15,0
Classic MCTS,pos_7,opening,16,171998,5037.45,34146,1030.70,g2g3,4,1.05,4
Pure Alpha-Beta,pos_8,opening,7,21233760,5000.95,4246752,0.01,f3d4,-6,12.21,0
Full Alpha-Beta,pos_8,opening,16,9867468,5001.71,1973098,0.03,f3d4,3,2.89,0
MTD(f),pos_8,opening,8,12808250,5000.74,2561650,0.12,f3d4,5,22.18,0
NegaScout,pos_8,opening,8,23781488,5000.75,4756297,0.01,f3d4,5,9.18,0
MCTS,pos_8,opening,20,8308907,6012.87,1382053,1000.85,f3d4,-14,1.05,0
Classic MCTS,pos_8,opening,16,153957,5024.30,30644,1024.66,g2g4,3,1.00,2
Pure Alpha-Beta,pos_9,opening,8,20304079,5001.25,4060003,0.02,b1c3,-15,8.03,0
Full Alpha-Beta,pos_9,opening,16,12284174,5000.44,2456834,0.03,b1c3,-24,2.59,0
MTD(f),pos_9,opening,8,12279912,5000.81,2455982,0.04,b1c3,-15,8.60,0
NegaScout,pos_9,opening,8,23711819,5000.79,4742363,0.02,b1c3,-15,7.34,0
MCTS,pos_9,opening,20,7295062,6137.82,1188701,1003.18,f1d3,-30,1.11,1
Classic MCTS,pos_9,opening,16,173105,5020.55,34483,1025.07,g2g4,5,1.04,1
