algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,endgame,8,30113871,5000.44,6022774,0.33,f7g7,-24,7.10,0
Full Alpha-Beta,pos_1,endgame,19,17842344,5001.32,3567755,0.18,f7g7,19,2.16,0
MTD(f),pos_1,endgame,10,19849247,5000.23,3969849,0.11,f7g7,15,8.85,0
NegaScout,pos_1,endgame,8,30887972,5000.84,6177594,0.03,f7g7,-24,6.51,0
MCTS,pos_1,endgame,20,6469532,26014.61,248694,1001.00,f7g7,15,0.72,0
Classic MCTS,pos_1,endgame,17,334859,5048.28,66334,1025.96,f7g7,2,1.00,0
Pure Alpha-Beta,pos_2,endgame,8,30236731,5000.67,6047346,0.02,f1d1,144,7.81,1
Full Alpha-Beta,pos_2,endgame,15,16494692,5000.07,3298938,0.03,f1d1,131,2.53,5
MTD(f),pos_2,endgame,9,16834686,5000.54,3366937,0.36,f1d1,126,7.50,1
NegaScout,pos_2,endgame,8,31498323,5000.70,6299664,0.03,f1d1,144,6.76,1
MCTS,pos_2,endgame,20,6259550,5268.68,1188221,1001.07,b2c3,120,0.79,0
Classic MCTS,pos_2,endgame,17,284642,6431.17,44260,1003.67,f1h1,3,1.13,1
Pure Alpha-Beta,pos_3,endgame,9,35123319,5000.05,7024663,0.05,c5e7,-23,5.28,5
Full Alpha-Beta,pos_3,endgame,18,17305756,5000.92,3461151,3.94,c5e7,-12,2.13,5
MTD(f),pos_3,endgame,11,18878538,5000.65,3775707,0.05,c5f8,-20,4.46,6
NegaScout,pos_3,endgame,9,30216241,5000.20,6043248,0.05,c5e7,-23,5.06,5
MCTS,pos_3,endgame,20,10254738,5452.51,1880913,1002.39,c5f8,-6,0.92,0
Classic MCTS,pos_3,endgame,17,347175,5340.37,65014,1025.16,g8f8,-9,1.03,0
Pure Alpha-Beta,pos_4,endgame,8,33308731,5000.13,6661746,0.02,a4d1,-260,7.72,3
Full Alpha-Beta,pos_4,endgame,16,16658586,5000.59,3331717,2.59,a1b1,-266,2.59,2
MTD(f),pos_4,endgame,10,21110868,5000.63,4222173,0.04,a4d1,-271,7.44,3
NegaScout,pos_4,endgame,9,31408229,5000.56,6281645,0.02,a1b1,-276,6.14,4
MCTS,pos_4,endgame,21,8094942,5621.60,1440124,1002.42,a4d1,-207,0.98,0
Classic MCTS,pos_4,endgame,17,270156,5234.81,51615,1027.12,f2f4,-1,1.07,2
Pure Alpha-Beta,pos_5,endgame,8,30216322,5000.03,6043264,0.03,e2e5,6,7.26,0
Full Alpha-Beta,pos_5,endgame,15,15429811,5001.35,3085345,0.07,e2e5,8,2.18,0
MTD(f),pos_5,endgame,9,24170551,5000.56,4834110,0.03,e2e5,13,13.25,0
NegaScout,pos_5,endgame,8,30654538,5000.75,6130907,0.03,e2e5,6,6.17,0
MCTS,pos_5,endgame,20,9388392,5494.97,1708844,1002.13,e2e5,18,0.99,0
Classic MCTS,pos_5,endgame,17,310610,5016.70,61923,1024.87,e2e5,0,1.08,3
Pure Alpha-Beta,pos_6,endgame,9,28958853,5000.23,5791770,0.01,f5e7,5,10.36,0
Full Alpha-Beta,pos_6,endgame,14,15499346,5000.94,3099869,0.01,f5e7,50,3.73,0
MTD(f),pos_6,endgame,9,21110858,5000.21,4222171,0.01,f5e7,5,17.08,0
NegaScout,pos_6,endgame,9,32723051,5000.19,6544610,0.01,f5e7,5,9.27,0
MCTS,pos_6,endgame,20,7431469,5556.27,1337557,1004.31,f5e7,-16,0.92,0
Classic MCTS,pos_6,endgame,17,300471,5013.81,59938,1000.48,f5e7,0,1.03,1
Pure Alpha-Beta,pos_7,middlegame,8,25911400,5000.43,5182280,0.01,g1h2,3,9.09,2
Full Alpha-Beta,pos_7,middlegame,16,14418088,5000.29,2883617,0.03,g1h2,0,2.96,2
MTD(f),pos_7,middlegame,10,19214471,5000.08,3842894,0.38,g1h2,8,6.62,2
NegaScout,pos_7,middlegame,9,26398784,5000.79,5279756,0.01,g1h2,4,8.50,2
MCTS,pos_7,middlegame,20,7682520,5530.41,1389244,1002.47,e2f1,5,0.86,0
Classic MCTS,pos_7,middlegame,17,355080,5159.65,68827,1006.89,g1h2,2,1.06,3
Pure Alpha-Beta,pos_8,endgame,9,36122705,5000.25,7224541,0.01,h4h5,-50,5.88,3
Full Alpha-Beta,pos_8,endgame,19,16765077,5000.39,3353015,0.02,h4h5,-77,2.39,3
MTD(f),pos_8,endgame,10,26964040,5000.97,5392808,0.03,g4g5,-63,20.19,4
NegaScout,pos_8,endgame,9,34385992,5000.11,6877198,0.01,h4h5,-50,5.65,3
MCTS,pos_8,endgame,20,9427179,5577.87,1690367,1000.21,h4h5,-38,0.87,1
Classic MCTS,pos_8,endgame,17,284291,5375.16,52891,1022.94,e3e5,0,1.06,0
Pure Alpha-Beta,pos_9,endgame,9,32206966,5000.36,6441393,0.03,h2g3,-6,5.81,3
Full Alpha-Beta,pos_9,endgame,18,16347280,5001.10,3268802,0.05,h2g3,-33,2.91,1
MTD(f),pos_9,endgame,10,20156492,5000.11,4031298,0.10,h2g3,8,13.89,1
NegaScout,pos_9,endgame,9,31936640,5000.32,6387328,0.04,h2g3,-6,5.33,3
MCTS,pos_9,endgame,20,11541690,5753.61,2006203,1000.85,h2g3,-10,0.96,0
Classic MCTS,pos_9,endgame,17,295537,5149.36,57396,1036.52,g2g3,4,1.05,0
Pure Alpha-Beta,pos_10,endgame,9,30392455,5000.45,6078491,0.04,e8f6,-96,6.07,0
Full Alpha-Beta,pos_10,endgame,22,18280587,5001.01,3655386,0.05,e8f6,-125,1.98,0
MTD(f),pos_10,endgame,11,19578973,5000.12,3915794,0.04,e8f6,-103,3.74,0
NegaScout,pos_10,endgame,9,32571508,5000.25,6514301,0.17,e8f6,-96,5.94,0
MCTS,pos_10,endgame,20,11300235,5730.04,1972117,1002.29,e8f6,-72,0.98,0
Classic MCTS,pos_10,endgame,17,273806,5011.42,54640,1006.79,g6g5,0,1.05,0
Pure Alpha-Beta,pos_11,endgame,9,35577981,5000.07,7115596,0.01,a7b6,-83,7.68,0
Full Alpha-Beta,pos_11,endgame,19,18137181,5001.16,3626710,0.01,a7b6,-42,3.68,0
MTD(f),pos_11,endgame,11,20672583,5000.51,4134516,0.01,a7b6,-49,16.11,0
NegaScout,pos_11,endgame,10,35962961,5000.40,7192592,0.01,a7b6,-78,7.11,0
MCTS,pos_11,endgame,20,9670479,5788.34,1670780,1001.10,a7b6,-91,0.92,0
Classic MCTS,pos_11,endgame,17,321597,5011.92,64178,1027.82,a7b6,0,1.02,0
Pure Alpha-Beta,pos_12,endgame,8,32792651,5000.61,6558530,0.01,h7g6,5,9.09,5
Full Alpha-Beta,pos_12,endgame,18,15683802,5000.68,3136760,0.01,h7g6,-11,2.65,5
MTD(f),pos_12,endgame,10,22183980,5000.62,4436796,0.53,h7g6,-10,10.89,5
NegaScout,pos_12,endgame,8,34009173,5000.06,6801834,0.01,h7g6,5,8.39,5
MCTS,pos_12,endgame,20,9347396,5782.24,1616637,1005.88,b8b4,42,1.23,0
Classic MCTS,pos_12,endgame,17,273488,5011.76,54577,1011.11,h5h4,12,1.02,1
Pure Alpha-Beta,pos_13,endgame,9,29519929,5000.36,5903985,0.01,f3e3,23,8.63,2
Full Alpha-Beta,pos_13,endgame,20,15835413,5000.21,3167082,0.12,c4a2,-12,2.38,3
MTD(f),pos_13,endgame,10,15716520,5000.49,3143304,0.27,f3e3,7,5.75,2
NegaScout,pos_13,endgame,9,31191073,5000.30,6238214,0.01,f3e3,23,8.99,2
MCTS,pos_13,endgame,20,9203253,5793.83,1588685,1000.76,f3e3,20,0.96,0
Classic MCTS,pos_13,endgame,16,249765,5012.64,49833,1037.54,e1h4,3,1.01,3
Pure Alpha-Beta,pos_14,endgame,11,44601395,5000.26,8920279,0.01,b4c3,-98,4.46,0
Full Alpha-Beta,pos_14,endgame,24,22290487,5000.87,4458097,0.01,b4c3,-119,2.15,0
MTD(f),pos_14,endgame,14,22073404,5000.52,4414680,0.25,b4c3,-106,3.60,0
NegaScout,pos_14,endgame,11,44818511,5000.03,8963702,0.01,b4c3,-98,4.33,0
MCTS,pos_14,endgame,20,8945766,5959.31,1501219,1000.19,b4c3,-78,0.90,0
Classic MCTS,pos_14,endgame,17,365048,5010.03,72863,1000.65,b4c3,-1,1.03,0
Pure Alpha-Beta,pos_15,endgame,10,36499541,5000.10,7299908,0.01,e2d1,-5,4.79,0
Full Alpha-Beta,pos_15,endgame,19,18891080,5001.13,3777460,0.01,e2d1,16,2.73,0
MTD(f),pos_15,endgame,12,17862686,5000.95,3572537,0.02,e2d1,3,6.95,0
NegaScout,pos_15,endgame,10,36700266,5000.11,7340053,0.01,e2d1,-5,4.58,0
MCTS,pos_15,endgame,20,8315874,6050.54,1374524,1003.64,e2d1,0,0.99,0
Classic MCTS,pos_15,endgame,17,265742,5010.51,53042,1037.97,e2d1,0,0.99,3
Pure Alpha-Beta,pos_16,endgame,9,36024365,5000.04,7204873,0.02,c4b5,144,5.27,3
Full Alpha-Beta,pos_16,endgame,20,16781459,5001.10,3355620,0.03,d1d6,150,2.25,2
MTD(f),pos_16,endgame,12,22184006,5000.86,4436801,0.15,d1d6,159,4.80,2
NegaScout,pos_16,endgame,10,38707304,5000.50,7741460,0.02,c4b5,144,4.78,3
MCTS,pos_16,endgame,20,10448559,5761.96,1813671,1002.52,c4b5,116,0.87,0
Classic MCTS,pos_16,endgame,17,280631,5011.80,56002,1006.94,c4b5,8,1.02,1
Pure Alpha-Beta,pos_17,endgame,8,35201166,5000.16,7040233,0.01,f7f6,133,9.93,0
