algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,opening,8,21999764,5000.92,4399952,0.25,d4c5,97,6.79,0
Full Alpha-Beta,pos_1,opening,18,12026071,5000.36,2405214,0.19,d4c5,95,2.26,0
MTD(f),pos_1,opening,8,13512774,5001.25,2702014,0.24,d4c5,97,8.47,0
NegaScout,pos_1,opening,8,21442678,5000.87,4288535,0.02,d4c5,97,6.40,0
MCTS,pos_1,opening,20,7134782,22056.10,323484,1005.60,e4d5,66,0.90,0
Classic MCTS,pos_1,opening,16,166993,5022.51,33252,1017.04,e4e5,7,0.98,2
Pure Alpha-Beta,pos_2,opening,8,24187018,5000.26,4837403,0.01,h6g7,98,6.78,0
Full Alpha-Beta,pos_2,opening,20,13770929,5000.82,2754185,0.03,h6g7,58,2.23,0
MTD(f),pos_2,opening,8,13344864,5001.38,2668439,0.13,h6g7,98,10.62,0
NegaScout,pos_2,opening,8,24531042,5000.27,4906208,0.01,h6g7,98,6.43,0
MCTS,pos_2,opening,20,6271220,5441.55,1152585,1002.66,h6g7,41,0.92,0
Classic MCTS,pos_2,opening,16,168375,6470.44,26023,1041.47,f3f4,9,1.05,3
Pure Alpha-Beta,pos_3,opening,6,20971599,5000.57,4194319,0.03,a2a4,95,17.27,4
Full Alpha-Beta,pos_3,opening,17,14241904,5001.07,2847811,0.04,a2a4,74,3.06,4
MTD(f),pos_3,opening,8,13959258,5001.13,2791293,0.90,a2a4,90,8.93,4
NegaScout,pos_3,opening,7,18370675,5002.13,3672665,0.05,a2a4,75,11.79,4
MCTS,pos_3,opening,21,8320017,7727.36,1076746,1001.98,e2e3,43,1.10,2
Classic MCTS,pos_3,opening,16,169653,5033.02,33708,1010.73,d3b5,3,1.04,1
Pure Alpha-Beta,pos_4,opening,7,20242577,5000.08,4048515,0.03,f1e2,15,13.46,1
Full Alpha-Beta,pos_4,opening,16,13295876,5001.45,2658643,0.03,f1d3,24,2.62,0
MTD(f),pos_4,opening,8,15306827,5001.50,3060753,0.10,f1d3,25,16.30,2
NegaScout,pos_4,opening,7,21315700,5000.56,4263140,0.03,f1e2,15,10.87,1
MCTS,pos_4,opening,20,8837340,6004.87,1471908,1002.89,e3g5,-9,1.12,0
Classic MCTS,pos_4,opening,16,152910,5072.69,30147,1040.52,h2h3,3,0.97,0
Pure Alpha-Beta,pos_5,opening,6,20525148,5000.21,4105029,0.07,c2c4,65,12.88,1
Full Alpha-Beta,pos_5,opening,16,13942832,5000.21,2788566,0.04,c2c4,45,4.34,3
MTD(f),pos_5,opening,6,12832857,5000.74,2566571,0.24,c2c4,65,34.16,1
NegaScout,pos_5,opening,7,20701304,5000.87,4140260,0.08,c2c4,20,10.38,1
MCTS,pos_5,opening,20,8890517,5712.56,1556463,1001.59,b1c3,55,1.14,0
Classic MCTS,pos_5,opening,16,160719,5009.19,32086,1030.37,g5f6,7,1.00,1
Pure Alpha-Beta,pos_6,opening,7,19124313,5000.77,3824862,0.02,e1g1,20,10.02,3
Full Alpha-Beta,pos_6,opening,16,12816554,5000.11,2563310,0.03,e1g1,31,2.76,4
MTD(f),pos_6,opening,7,12148922,5000.23,2429784,0.20,e1g1,20,25.17,4
NegaScout,pos_6,opening,7,21221529,5001.01,4243457,0.02,e1g1,20,9.32,3
MCTS,pos_6,opening,20,8522982,5571.74,1529883,1004.29,f3e5,39,1.13,0
Classic MCTS,pos_6,opening,16,156268,5011.43,31184,1033.98,e1c1,8,0.99,3
Pure Alpha-Beta,pos_7,opening,7,19554452,5001.08,3910108,0.07,d4d5,-20,16.33,1
Full Alpha-Beta,pos_7,opening,15,12853381,5000.67,2570676,0.21,g2g4,-40,3.12,2
MTD(f),pos_7,opening,8,14430315,5001.14,2885485,0.50,d4d5,10,15.94,1
NegaScout,pos_7,opening,8,22970541,5000.90,4594108,0.14,d4d5,10,7.76,1
MCTS,pos_7,opening,20,9360767,5588.69,1675155,1001.78,d4d5,-20,1.06,0
Classic MCTS,pos_7,opening,16,167016,5057.48,33026,1009.90,c1g5,2,1.02,3
Pure Alpha-Beta,pos_8,opening,6,21602435,5000.70,4320487,0.02,f1d3,25,13.52,1
Full Alpha-Beta,pos_8,opening,16,12996816,5001.25,2598843,0.05,g1f3,30,2.39,0
MTD(f),pos_8,opening,7,13168757,5000.20,2633751,0.08,g1f3,5,10.08,2
NegaScout,pos_8,opening,6,23158875,5000.17,4631775,0.03,f1d3,25,11.35,1
MCTS,pos_8,opening,20,9757198,5692.71,1714195,1006.29,f1b5,8,1.15,0
Classic MCTS,pos_8,opening,16,158156,5012.54,31555,1007.51,c3b1,6,1.03,1
Pure Alpha-Beta,pos_9,opening,8,22024377,5000.83,4404875,0.07,d5e3,5,6.91,0
Full Alpha-Beta,pos_9,opening,15,12202246,5001.43,2439961,0.09,d5e3,0,2.66,0
MTD(f),pos_9,opening,7,13791318,5000.50,2758263,0.11,d5e3,-25,24.65,0
NegaScout,pos_9,opening,8,26013879,5000.95,5202775,0.05,d5e3,5,6.43,0
MCTS,pos_9,opening,20,8835295,5520.28,1600596,1002.08,d5e3,-64,1.12,0
Classic MCTS,pos_9,opening,16,208609,5012.21,41621,1021.46,e1d2,5,1.03,0
Pure Alpha-Beta,pos_10,opening,8,25227378,5000.59,5045475,0.06,d3e4,-80,5.75,1
Full Alpha-Beta,pos_10,opening,18,13435120,5000.42,2687024,0.34,d3e4,-7,2.18,1
MTD(f),pos_10,opening,8,17313909,5000.74,3462781,0.71,d3e4,-80,6.35,1
NegaScout,pos_10,opening,8,27848798,5000.12,5569759,0.43,d3e4,-80,5.70,1
