algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,opening,6,2453657,500.51,4907314,0.21,c1b2,45,9.04,1
Full Alpha-Beta,pos_1,opening,14,1294515,501.48,2583862,0.11,c1b2,-5,2.92,1
MTD(f),pos_1,opening,6,1228885,501.46,2452864,0.05,c1b2,45,12.27,1
NegaScout,pos_1,opening,6,2363494,500.40,4726988,0.01,c1b2,45,8.07,1
MCTS,pos_1,opening,17,530389,1093.64,485259,485.00,c1b2,4,0.00,0
Classic MCTS,pos_1,opening,12,10158,502.97,20235,500.01,f2f4,21,0.00,0
Pure Alpha-Beta,pos_2,opening,6,1765417,500.44,3530834,0.02,b1c3,30,10.25,0
Full Alpha-Beta,pos_2,opening,12,1024233,501.63,2044377,0.03,b1c3,15,4.15,0
MTD(f),pos_2,opening,6,1155114,501.01,2305616,0.19,b1c3,30,13.84,0
NegaScout,pos_2,opening,7,2031745,500.59,4063490,0.02,b1c3,5,7.78,0
MCTS,pos_2,opening,17,626326,985.13,635863,485.00,c1b2,23,0.00,0
Classic MCTS,pos_2,opening,13,13590,503.27,27017,500.01,c1b2,13,0.00,0
Pure Alpha-Beta,pos_3,opening,6,2322484,500.43,4644968,0.01,b1c3,25,9.80,0
Full Alpha-Beta,pos_3,opening,14,1274160,500.32,2548320,0.02,b1c3,10,2.59,0
MTD(f),pos_3,opening,6,1101853,500.61,2203706,0.08,b1c3,25,13.11,0
NegaScout,pos_3,opening,7,2560129,500.55,5120258,0.01,b1c3,0,8.26,0
MCTS,pos_3,opening,17,583828,750.21,778437,485.00,g1f3,23,0.00,0
Classic MCTS,pos_3,opening,13,13106,504.30,26003,501.12,g1e2,9,0.00,0
Pure Alpha-Beta,pos_4,opening,7,1957972,500.60,3915944,0.10,e4d5,25,5.84,1
Full Alpha-Beta,pos_4,opening,13,1171663,500.93,2343326,0.16,e4d5,35,2.51,1
MTD(f),pos_4,opening,6,1171515,501.65,2338353,0.65,e4d5,75,6.15,1
NegaScout,pos_4,opening,7,2039900,500.22,4079800,0.15,e4d5,25,4.77,1
MCTS,pos_4,opening,17,634326,680.67,932832,485.00,e4d5,31,0.00,0
Classic MCTS,pos_4,opening,13,12682,503.26,25212,500.00,h2h4,13,0.00,0
Pure Alpha-Beta,pos_5,opening,6,2453595,500.44,4907190,0.01,b1d2,35,10.16,1
