algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,opening,7,1978583,500.11,3957166,0.34,d4c5,81,6.68,0
Full Alpha-Beta,pos_1,opening,14,1335463,500.60,2670926,0.24,d4c5,69,2.43,0
MTD(f),pos_1,opening,6,1294385,501.00,2583602,0.21,d4c5,104,10.72,0
NegaScout,pos_1,opening,7,2887803,501.04,5764077,0.02,d4c5,81,6.21,0
MCTS,pos_1,opening,17,593898,959.45,619288,485.00,e4d5,72,0.00,0
Classic MCTS,pos_1,opening,13,14678,502.34,29239,500.06,c4a5,12,0.00,0
Pure Alpha-Beta,pos_2,opening,7,2105552,500.54,4211104,0.01,h6g7,64,6.93,0
Full Alpha-Beta,pos_2,opening,16,1306826,501.42,2608435,0.03,h6g7,58,2.33,0
MTD(f),pos_2,opening,7,1253523,500.18,2507046,0.10,h6g7,64,9.82,0
NegaScout,pos_2,opening,7,2240630,500.34,4481260,0.01,h6g7,64,6.53,0
MCTS,pos_2,opening,17,670974,510.46,1315635,485.00,h6g7,49,0.00,0
Classic MCTS,pos_2,opening,13,17203,515.89,33403,500.00,c3d5,21,0.00,0
Pure Alpha-Beta,pos_3,opening,5,1630254,500.35,3260508,0.03,e4e5,90,21.92,3
Full Alpha-Beta,pos_3,opening,13,1057015,501.01,2109810,0.04,a2a4,77,3.33,4
MTD(f),pos_3,opening,6,1064995,501.74,2125738,0.66,a2a4,95,4.96,4
NegaScout,pos_3,opening,5,1126455,500.15,2252910,0.05,e4e5,90,15.60,3
MCTS,pos_3,opening,17,656016,536.37,1223910,485.00,a1b1,56,0.00,0
Classic MCTS,pos_3,opening,13,13249,515.89,25726,502.27,f1e1,13,0.00,0
Pure Alpha-Beta,pos_4,opening,5,1396820,500.23,2793640,0.03,f1d3,5,17.28,0
Full Alpha-Beta,pos_4,opening,13,1245340,501.03,2485708,0.04,f1d3,25,2.69,0
MTD(f),pos_4,opening,6,1265705,501.69,2526357,0.11,f1d3,25,20.97,0
NegaScout,pos_4,opening,6,1884325,501.05,3761127,0.03,f1d3,25,11.95,0
MCTS,pos_4,opening,17,634160,514.59,1233774,485.00,e3g5,31,0.00,0
Classic MCTS,pos_4,opening,13,11818,500.74,23636,500.01,c3e2,14,0.00,0
Pure Alpha-Beta,pos_5,opening,5,1712229,500.37,3424458,0.07,c2c4,25,15.47,1
Full Alpha-Beta,pos_5,opening,12,1151167,500.31,2302334,0.04,c2c4,39,5.31,3
MTD(f),pos_5,opening,5,1183856,500.12,2367712,0.24,c2c4,25,45.29,1
NegaScout,pos_5,opening,6,1974373,500.82,3948746,0.08,c2c4,65,8.09,1
MCTS,pos_5,opening,17,661381,511.81,1294287,485.00,b1c3,101,0.00,0
Classic MCTS,pos_5,opening,13,12843,501.31,25634,500.01,f3h4,21,0.00,0
Pure Alpha-Beta,pos_6,opening,6,1761447,501.08,3515862,0.02,e1g1,39,10.57,3
Full Alpha-Beta,pos_6,opening,13,1314980,500.92,2629960,0.03,e1g1,29,2.86,4
MTD(f),pos_6,opening,6,1323086,500.88,2646172,0.19,a2a3,39,22.36,3
NegaScout,pos_6,opening,6,1880202,501.42,3752898,0.02,e1g1,39,9.83,3
MCTS,pos_6,opening,17,557593,528.14,1056047,485.00,c2b3,-9,0.00,0
