algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,endgame,7,2777182,500.11,5554364,0.11,f7g7,-35,6.99,0
Full Alpha-Beta,pos_1,endgame,15,1560667,500.43,3121334,0.16,f7g7,22,2.21,0
MTD(f),pos_1,endgame,8,2039860,500.12,4079720,0.10,f7g7,-24,10.22,0
NegaScout,pos_1,endgame,7,2564183,500.08,5128366,0.04,f7g7,-35,6.63,0
MCTS,pos_1,endgame,17,798111,930.41,858183,485.06,f7g7,-19,0.00,0
Classic MCTS,pos_1,endgame,13,20204,504.18,40087,500.00,f7g7,4,0.00,0
Pure Alpha-Beta,pos_2,endgame,6,2809885,500.68,5619770,0.02,b2c3,138,8.95,0
Full Alpha-Beta,pos_2,endgame,13,1441886,500.54,2883772,0.03,f4f5,121,2.60,4
MTD(f),pos_2,endgame,7,1622133,501.33,3237790,0.35,b2c3,122,7.81,0
NegaScout,pos_2,endgame,7,2412622,500.48,4825244,0.02,b2c3,122,7.33,0
MCTS,pos_2,endgame,17,605947,528.82,1147626,485.00,b2c3,131,0.00,0
Classic MCTS,pos_2,endgame,13,17359,515.11,33706,503.07,h5h6,9,0.00,0
Pure Alpha-Beta,pos_3,endgame,8,3055675,500.68,6111350,0.04,c5f8,-15,5.09,4
Full Alpha-Beta,pos_3,endgame,15,1523832,500.21,3047664,0.07,c5e7,-16,2.03,5
MTD(f),pos_3,endgame,8,1519670,501.23,3033273,0.06,c5f8,-15,5.10,4
NegaScout,pos_3,endgame,8,2568252,500.28,5136504,0.05,c5f8,-15,5.18,4
MCTS,pos_3,endgame,18,895712,526.40,1702874,485.00,c5d6,-27,0.00,0
Classic MCTS,pos_3,endgame,13,23107,501.14,46121,500.01,g8f8,-10,0.00,0
Pure Alpha-Beta,pos_4,endgame,7,3244108,500.58,6488216,0.02,a1b1,-266,8.05,2
Full Alpha-Beta,pos_4,endgame,12,1507410,500.69,3014820,0.03,a1b1,-270,3.03,2
MTD(f),pos_4,endgame,8,1888322,500.77,3776644,0.04,a1b1,-261,6.88,2
NegaScout,pos_4,endgame,7,2601020,500.38,5202040,0.02,a1b1,-266,6.44,2
MCTS,pos_4,endgame,18,677641,512.77,1323517,485.00,a4b5,-200,0.00,0
Classic MCTS,pos_4,endgame,13,19057,501.78,38037,500.00,a4b5,2,0.00,0
Pure Alpha-Beta,pos_5,endgame,6,2486309,500.27,4972618,0.03,e2e5,8,7.71,0
Full Alpha-Beta,pos_5,endgame,12,1413378,500.94,2826756,0.08,e2e5,1,2.41,0
MTD(f),pos_5,endgame,7,2445422,500.38,4890844,0.04,e2e5,17,15.35,0
NegaScout,pos_5,endgame,7,2519137,500.92,5038274,0.03,e2e5,17,6.29,0
MCTS,pos_5,endgame,17,875685,511.78,1713669,485.00,e2e5,11,0.00,0
Classic MCTS,pos_5,endgame,13,21410,500.99,42820,500.01,c7c5,2,0.00,0
Pure Alpha-Beta,pos_6,endgame,7,2682927,500.50,5365854,0.01,f5e7,-13,11.61,0
Full Alpha-Beta,pos_6,endgame,11,1286311,500.86,2572622,0.01,f5e7,11,3.76,0
MTD(f),pos_6,endgame,7,1814553,500.48,3629106,0.01,f5e7,-13,20.39,0
NegaScout,pos_6,endgame,8,2760817,500.49,5521634,0.01,f5e7,20,10.16,0
MCTS,pos_6,endgame,18,827120,537.43,1540260,485.00,f5e7,-34,0.00,0
Classic MCTS,pos_6,endgame,13,22936,501.02,45780,500.00,f8e8,1,0.00,0
Pure Alpha-Beta,pos_7,middlegame,7,2322501,500.38,4645002,0.01,g1h2,-1,9.15,2
Full Alpha-Beta,pos_7,middlegame,11,1102005,500.98,2204010,0.04,g1h2,1,3.76,2
MTD(f),pos_7,middlegame,9,1806430,500.29,3612860,0.03,g1h2,0,4.73,2
NegaScout,pos_7,middlegame,7,2093110,500.75,4186220,0.01,g1h2,-1,9.32,2
MCTS,pos_7,middlegame,17,739431,510.83,1449864,485.00,e2f1,-7,0.00,0
Classic MCTS,pos_7,middlegame,13,29218,501.23,58319,500.01,e2f1,2,0.00,0
Pure Alpha-Beta,pos_8,endgame,8,3399764,500.68,6799528,0.01,h4h5,-44,6.13,3
Full Alpha-Beta,pos_8,endgame,14,1527883,501.19,3049666,0.02,h4h5,-57,2.39,3
MTD(f),pos_8,endgame,8,1671240,500.99,3342480,0.03,h4h5,-44,25.03,3
NegaScout,pos_8,endgame,8,3223612,500.34,6447224,0.01,h4h5,-44,5.74,3
MCTS,pos_8,endgame,17,890793,506.59,1760460,485.00,e3e5,-74,0.00,0
Classic MCTS,pos_8,endgame,13,21071,501.23,42057,500.00,g2f3,5,0.00,0
Pure Alpha-Beta,pos_9,endgame,7,2719780,500.07,5439560,0.03,h2g3,12,5.75,3
Full Alpha-Beta,pos_9,endgame,13,1466508,500.79,2933016,0.04,h2g3,-26,3.41,1
MTD(f),pos_9,endgame,8,1974312,500.06,3948624,0.10,h2g3,12,13.56,1
NegaScout,pos_9,endgame,7,2592822,501.91,5175293,1.26,h2g3,12,5.45,3
MCTS,pos_9,endgame,18,793350,514.53,1543482,485.00,h2g3,-4,0.00,0
Classic MCTS,pos_9,endgame,13,22005,501.37,43922,500.01,h4h5,4,0.00,0
Pure Alpha-Beta,pos_10,endgame,7,2842728,500.70,5685456,0.04,e8f6,-89,5.41,0
Full Alpha-Beta,pos_10,endgame,17,1638507,500.33,3277014,0.06,e8f6,-122,2.11,0
MTD(f),pos_10,endgame,9,1843224,500.82,3686448,0.04,e8f6,-96,3.83,0
NegaScout,pos_10,endgame,7,2826298,500.52,5652596,0.04,e8f6,-89,5.07,0
MCTS,pos_10,endgame,18,877683,512.09,1714224,485.00,e8f6,-70,0.00,0
Classic MCTS,pos_10,endgame,13,20856,500.97,41712,500.00,g7h6,4,0.00,0
Pure Alpha-Beta,pos_11,endgame,8,3203120,500.47,6406240,0.01,a7b6,-82,8.11,0
Full Alpha-Beta,pos_11,endgame,15,1618011,500.81,3236022,0.01,a7b6,-56,4.07,0
MTD(f),pos_11,endgame,9,1703975,500.56,3407950,0.01,a7b6,-83,18.87,0
NegaScout,pos_11,endgame,8,3190834,500.05,6381668,0.01,a7b6,-82,8.00,0
MCTS,pos_11,endgame,17,1074110,510.59,2106098,485.00,a7b6,-70,0.00,0
Classic MCTS,pos_11,endgame,13,27386,501.14,54662,500.01,a7b6,0,0.00,0
Pure Alpha-Beta,pos_12,endgame,7,2973748,500.38,5947496,0.01,b8b4,13,9.74,4
Full Alpha-Beta,pos_12,endgame,13,1450072,500.33,2900144,0.01,h7g6,-8,3.16,5
MTD(f),pos_12,endgame,8,1839139,500.50,3678278,0.29,h7g6,5,13.43,5
NegaScout,pos_12,endgame,7,2531404,500.36,5062808,0.01,b8b4,13,8.95,4
MCTS,pos_12,endgame,18,744457,513.19,1451183,485.00,b8b4,37,0.00,0
Classic MCTS,pos_12,endgame,13,21171,500.93,42342,500.01,b8b6,19,0.00,0
Pure Alpha-Beta,pos_13,endgame,7,2109538,500.53,4219076,0.01,f3e3,47,10.15,2
Full Alpha-Beta,pos_13,endgame,16,1491092,500.40,2982184,0.15,f3e3,-12,2.37,2
MTD(f),pos_13,endgame,8,1634390,500.58,3268780,0.28,f3e3,30,6.55,2
NegaScout,pos_13,endgame,7,2785332,500.72,5570664,0.01,f3e3,47,10.82,2
MCTS,pos_13,endgame,17,765255,508.91,1506407,485.00,f3e3,40,0.00,0
Classic MCTS,pos_13,endgame,13,19016,500.85,38032,500.00,e2g3,8,0.00,0
Pure Alpha-Beta,pos_14,endgame,9,3874857,500.12,7749714,0.01,b4c3,-99,4.35,0
Full Alpha-Beta,pos_14,endgame,18,2031669,500.67,4063338,0.02,b4c3,-108,2.06,0
MTD(f),pos_14,endgame,12,2015299,500.40,4030598,0.28,b4c3,-98,2.70,0
NegaScout,pos_14,endgame,9,3989541,500.40,7979082,0.01,b4c3,-99,4.38,0
MCTS,pos_14,endgame,18,1092849,509.54,2147051,485.00,b4c3,-68,0.00,0
Classic MCTS,pos_14,endgame,14,30645,501.69,61167,500.00,b4c3,0,0.00,0
Pure Alpha-Beta,pos_15,endgame,9,3543093,500.19,7086186,0.01,e2d1,-17,4.96,0
Full Alpha-Beta,pos_15,endgame,17,1786054,500.77,3572108,0.02,e2d1,2,2.40,0
MTD(f),pos_15,endgame,9,1605663,500.39,3211326,0.01,e2d1,-17,7.45,0
NegaScout,pos_15,endgame,9,3371093,500.77,6742186,0.01,e2d1,-17,4.71,0
MCTS,pos_15,endgame,18,933252,511.06,1826324,485.00,e2d1,-10,0.00,0
Classic MCTS,pos_15,endgame,13,16961,500.89,33922,500.01,e2b5,2,0.00,0
Pure Alpha-Beta,pos_16,endgame,8,2887761,500.47,5775522,0.02,d1d6,154,5.18,2
Full Alpha-Beta,pos_16,endgame,16,1376397,501.43,2747299,0.04,d1d6,159,2.37,2
MTD(f),pos_16,endgame,9,1753141,500.09,3506282,0.16,d1d6,144,5.13,2
NegaScout,pos_16,endgame,8,3297316,500.37,6594632,0.02,d1d6,154,4.87,2
MCTS,pos_16,endgame,18,1022743,509.75,2009318,485.04,c4b5,97,0.00,0
Classic MCTS,pos_16,endgame,13,21442,502.14,42713,500.01,b3b4,6,0.00,0
Pure Alpha-Beta,pos_17,endgame,7,3272780,500.46,6545560,0.01,f7f6,112,10.18,0
Full Alpha-Beta,pos_17,endgame,14,1728557,500.97,3457114,0.07,f7f6,177,2.40,0
MTD(f),pos_17,endgame,10,2768930,500.86,5537860,0.13,f7f6,132,15.89,0
NegaScout,pos_17,endgame,7,3113030,500.21,6226060,0.01,f7f6,112,9.72,0
MCTS,pos_17,endgame,18,1146710,510.02,2248450,485.03,f7f6,161,0.00,0
Classic MCTS,pos_17,endgame,13,33193,501.34,66253,500.00,f7f6,4,0.00,0
Pure Alpha-Beta,pos_18,endgame,7,2707531,500.45,5415062,0.01,e3e5,-192,9.03,0
Full Alpha-Beta,pos_18,endgame,13,1417320,500.12,2834640,0.02,e3e5,-171,2.54,0
MTD(f),pos_18,endgame,8,1982517,500.40,3965034,0.23,e3e5,-176,8.86,0
NegaScout,pos_18,endgame,7,2850884,500.34,5701768,0.01,e3e5,-192,7.46,0
MCTS,pos_18,endgame,18,886027,508.82,1744147,485.00,e3e5,-72,0.00,0
Classic MCTS,pos_18,endgame,13,21946,501.73,43804,500.41,h5h4,2,0.00,0
Pure Alpha-Beta,pos_19,endgame,6,2388037,501.10,4766540,0.02,d1e1,-94,8.48,3
Full Alpha-Beta,pos_19,endgame,11,1278009,500.45,2556018,0.05,g2f3,-58,2.87,2
MTD(f),pos_19,endgame,7,1728571,500.69,3457142,1.48,g2f3,-68,4.06,4
NegaScout,pos_19,endgame,6,2166856,500.38,4333712,0.03,d1e1,-94,7.34,3
MCTS,pos_19,endgame,18,700129,506.71,1383654,485.05,g2f3,-260,0.00,0
Classic MCTS,pos_19,endgame,13,18663,502.43,37177,500.01,g2f1,4,0.00,0
Pure Alpha-Beta,pos_20,endgame,8,3166324,500.79,6332648,0.01,b1b3,-29,6.31,2
Full Alpha-Beta,pos_20,endgame,14,1409246,500.70,2818492,0.02,b1b3,3,2.73,1
MTD(f),pos_20,endgame,9,1908792,500.63,3817584,0.03,b1b3,-30,16.55,2
NegaScout,pos_20,endgame,8,2990202,500.31,5980404,0.01,b1b3,-29,5.77,2
MCTS,pos_20,endgame,17,910483,507.15,1795824,485.00,b1b3,-3,0.00,0
Classic MCTS,pos_20,endgame,13,21005,501.93,41926,500.00,c3c6,16,0.00,0
